"recovery","recovery_sd","recovery_q05","recovery_q95","size","size_sd","method","n","e","pi"
0.994,0.03428932,1,1,5.01,0.265718,3,400,-0.3,0.5
0.642,0.18044838,0.4,1,3.46,1.0192094,1,400,-0.28,0.5
0.51,0.18936363,0.2,0.8,2.78,1.0878577,2,400,-0.28,0.5
0.998,0.02,1,1,5.03,0.2227015,3,400,-0.28,0.5
0.772,0.17528044,0.4,1,4.09,0.9754046,1,400,-0.26,0.5
0.684,0.17564887,0.4,1,3.61,0.9733313,2,400,-0.26,0.5
1,0,1,1,5.05,0.2190429,3,400,-0.26,0.5
0.888,0.15127739,0.6,1,4.65,0.7961397,1,400,-0.24,0.5
0.844,0.15719768,0.6,1,4.39,0.8151966,2,400,-0.24,0.5
1,0,1,1,5.05,0.2190429,3,400,-0.24,0.5
0.964,0.08229044,0.8,1,5.01,0.5411361,1,400,-0.22,0.5
0.94,0.11191627,0.79,1,4.86,0.5863773,2,400,-0.22,0.5
1,0,1,1,5.05,0.2190429,3,400,-0.22,0.5
0.994,0.03428932,1,1,5.14,0.4499158,1,400,-0.2,0.5
0.994,0.03428932,1,1,5.11,0.4239068,2,400,-0.2,0.5
1,0,1,1,5.04,0.1969464,3,400,-0.2,0.5
0.076,0.12318992,0,0.4,0.87,0.9173413,1,500,-0.4,0.5
0.022,0.06289321,0,0.2,0.53,0.6583573,2,500,-0.4,0.5
0.704,0.18308247,0.4,1,3.62,0.9616904,3,500,-0.4,0.5
0.108,0.14047538,0,0.4,1.01,0.937383,1,500,-0.38,0.5
0.06,0.11191627,0,0.21,0.72,0.8418354,2,500,-0.38,0.5
0.808,0.1528715,0.6,1,4.13,0.8245599,3,500,-0.38,0.5
0.18,0.17407766,0,0.4,1.31,0.9815984,1,500,-0.36,0.5
0.1,0.14354811,0,0.4,0.91,0.9544685,2,500,-0.36,0.5
0.898,0.13482499,0.6,1,4.57,0.7555184,3,500,-0.36,0.5
0.306,0.18953425,0,0.6,1.94,1.0713911,1,500,-0.34,0.5
0.192,0.17504978,0,0.4,1.27,1.0035795,2,500,-0.34,0.5
0.962,0.07885545,0.8,1,4.87,0.4852366,3,500,-0.34,0.5
0.42,0.17638342,0.2,0.6,2.5,0.9795897,1,500,-0.32,0.5
0.324,0.17929154,0,0.6,1.9,1.0100505,2,500,-0.32,0.5
0.988,0.04773665,0.8,1,5.01,0.3622321,3,500,-0.32,0.5
0.582,0.20319668,0.2,1,3.28,1.0738395,1,500,-0.3,0.5
0.45,0.16666667,0.2,0.61,2.5,0.9898475,2,500,-0.3,0.5
0.996,0.02814106,1,1,5.03,0.2641931,3,500,-0.3,0.5
0.722,0.19466625,0.4,1,3.89,1.0626344,1,500,-0.28,0.5
0.608,0.18405094,0.4,1,3.29,0.9979271,2,500,-0.28,0.5
1,0,1,1,5.06,0.2386833,3,500,-0.28,0.5
0.858,0.15902481,0.6,1,4.5,0.9265991,1,500,-0.26,0.5
0.8,0.18422647,0.4,1,4.21,0.9459643,2,500,-0.26,0.5
1,0,1,1,5.06,0.2386833,3,500,-0.26,0.5
0.946,0.10956295,0.79,1,4.91,0.6046119,1,500,-0.24,0.5
0.918,0.12421877,0.79,1,4.79,0.6860073,2,500,-0.24,0.5
1,0,1,1,5.06,0.2386833,3,500,-0.24,0.5
0.986,0.05128648,0.8,1,5.08,0.4422166,1,500,-0.22,0.5
0.98,0.06030227,0.8,1,5.07,0.4975699,2,500,-0.22,0.5
1,0,1,1,5.07,0.2564324,3,500,-0.22,0.5
0.996,0.02814106,1,1,5.12,0.4329835,1,500,-0.2,0.5
1,0,1,1,5.17,0.4277023,2,500,-0.2,0.5
1,0,1,1,5.06,0.2386833,3,500,-0.2,0.5
0.018,0.07018014,0,0.2,0.37,0.6765181,1,200,-0.4,0.7
0,0,0,0,0,0,2,200,-0.4,0.7
0.304,0.19792867,0,0.6,1.52,0.9896433,3,200,-0.4,0.7
0.024,0.0766996,0,0.2,0.4,0.6963106,1,200,-0.38,0.7
0,0,0,0,0,0,2,200,-0.38,0.7
0.39,0.20175993,0,0.8,1.95,1.0087997,3,200,-0.38,0.7
0.034,0.08554047,0,0.2,0.45,0.7159792,1,200,-0.36,0.7
0,0,0,0,0,0,2,200,-0.36,0.7
0.494,0.21168874,0.2,0.8,2.47,1.0584437,3,200,-0.36,0.7
0.056,0.11038958,0,0.21,0.54,0.7967104,1,200,-0.34,0.7
0,0,0,0,0,0,2,200,-0.34,0.7
0.574,0.19416748,0.2,1,2.87,0.9708374,3,200,-0.34,0.7
0.078,0.12994171,0,0.4,0.65,0.8689364,1,200,-0.32,0.7
0,0,0,0,0,0,2,200,-0.32,0.7
0.664,0.19043809,0.4,1,3.33,0.9645745,3,200,-0.32,0.7
0.12,0.14770979,0,0.4,0.86,0.9746276,1,200,-0.3,0.7
0,0,0,0,0,0,2,200,-0.3,0.7
0.764,0.16667879,0.4,1,3.82,0.8333939,3,200,-0.3,0.7
0.178,0.17728594,0,0.41,1.11,1.04345,1,200,-0.28,0.7
0,0,0,0,0,0,2,200,-0.28,0.7
0.858,0.1342243,0.6,1,4.29,0.6711215,3,200,-0.28,0.7
0.25,0.18936363,0,0.6,1.45,1.0576799,1,200,-0.26,0.7
0,0,0,0,0,0,2,200,-0.26,0.7
0.928,0.09648363,0.8,1,4.65,0.5,3,200,-0.26,0.7
0.318,0.19508092,0,0.6,1.78,1.0878577,1,200,-0.24,0.7
0,0,0,0,0,0,2,200,-0.24,0.7
0.954,0.08459052,0.8,1,4.77,0.4229526,3,200,-0.24,0.7
0.438,0.20635362,0,0.8,2.36,1.0779704,1,200,-0.22,0.7
0,0,0,0,0,0,2,200,-0.22,0.7
0.978,0.06289321,0.8,1,4.9,0.3333333,3,200,-0.22,0.7
0.588,0.19031075,0.39,1,3.1,0.9898475,1,200,-0.2,0.7
0.002,0.02,0,0,0.01,0.1,2,200,-0.2,0.7
0.988,0.04773665,0.8,1,4.95,0.2611165,3,200,-0.2,0.7
0.032,0.08862587,0,0.2,0.51,0.6889459,1,300,-0.4,0.7
0,0,0,0,0,0,2,300,-0.4,0.7
0.376,0.21701371,0,0.8,1.9,1.1146409,3,300,-0.4,0.7
0.038,0.09296464,0,0.2,0.53,0.6883592,1,300,-0.38,0.7
0,0,0,0,0,0,2,300,-0.38,0.7
0.514,0.2260866,0.2,0.8,2.58,1.1386684,3,300,-0.38,0.7
0.05,0.1,0,0.2,0.58,0.7272475,1,300,-0.36,0.7
0,0,0,0,0,0,2,300,-0.36,0.7
0.612,0.22530787,0.2,1,3.07,1.130433,3,300,-0.36,0.7
0.08,0.13926212,0,0.4,0.73,0.8744984,1,300,-0.34,0.7
0.004,0.02814106,0,0,0.02,0.1407053,2,300,-0.34,0.7
0.732,0.17802508,0.4,1,3.67,0.888251,3,300,-0.34,0.7
0.136,0.16546232,0,0.4,0.98,0.9425947,1,300,-0.32,0.7
0.024,0.0766996,0,0.2,0.12,0.383498,2,300,-0.32,0.7
0.832,0.16010098,0.6,1,4.17,0.7920693,3,300,-0.32,0.7
0.198,0.17637197,0,0.41,1.27,0.9624779,1,300,-0.3,0.7
0.028,0.08050347,0,0.2,0.14,0.4025173,2,300,-0.3,0.7
0.898,0.12869194,0.6,1,4.5,0.6435382,3,300,-0.3,0.7
0.302,0.19383425,0,0.6,1.77,1.0333333,1,300,-0.28,0.7
0.058,0.12158881,0,0.4,0.29,0.607944,2,300,-0.28,0.7
0.96,0.08528029,0.8,1,4.81,0.4425591,3,300,-0.28,0.7
0.42,0.18312661,0.2,0.6,2.35,0.936089,1,300,-0.26,0.7
0.128,0.18753047,0,0.6,0.64,0.9376523,2,300,-0.26,0.7
0.976,0.06531973,0.8,1,4.88,0.3265986,3,300,-0.26,0.7
0.536,0.20276871,0.2,0.8,2.9,1.058873,1,300,-0.24,0.7
0.21,0.2076808,0,0.6,1.05,1.038404,2,300,-0.24,0.7
0.994,0.03428932,1,1,4.97,0.1714466,3,300,-0.24,0.7
0.676,0.20256935,0.4,1,3.58,1.102614,1,300,-0.22,0.7
0.344,0.23282195,0,0.6,1.72,1.1641098,2,300,-0.22,0.7
0.998,0.02,1,1,4.99,0.1,3,300,-0.22,0.7
0.836,0.17838784,0.6,1,4.36,0.9589557,1,300,-0.2,0.7
0.516,0.27292653,0,0.81,2.58,1.3646326,2,300,-0.2,0.7
1,0,1,1,5,0,3,300,-0.2,0.7
0.036,0.1000202,0,0.2,0.73,0.9084897,1,400,-0.4,0.7
0.002,0.02,0,0,0.13,0.3932511,2,400,-0.4,0.7
0.456,0.22932488,0,0.8,2.31,1.1343578,3,400,-0.4,0.7
0.052,0.1193247,0,0.2,0.81,0.9918354,1,400,-0.38,0.7
0.004,0.02814106,0,0,0.13,0.3666667,2,400,-0.38,0.7
0.596,0.21268842,0.2,1,3,1.063632,3,400,-0.38,0.7
0.082,0.14240361,0,0.4,0.94,1.0807779,1,400,-0.36,0.7
0.012,0.04773665,0,0.2,0.17,0.4033947,2,400,-0.36,0.7
0.724,0.19233809,0.4,1,3.63,0.9603766,3,400,-0.36,0.7
0.104,0.15434449,0,0.4,1.04,1.1093724,1,400,-0.34,0.7
0.02,0.06666667,0,0.2,0.21,0.5182527,2,400,-0.34,0.7
0.818,0.15851584,0.6,1,4.1,0.797724,3,400,-0.34,0.7
0.166,0.1753611,0,0.4,1.35,1.1752928,1,400,-0.32,0.7
0.056,0.11038958,0,0.21,0.39,0.6497086,2,400,-0.32,0.7
0.914,0.12473811,0.6,1,4.58,0.6224747,3,400,-0.32,0.7
0.262,0.18355634,0,0.6,1.79,1.0852082,1,400,-0.3,0.7
0.118,0.15067525,0,0.4,0.7,0.8468599,2,400,-0.3,0.7
0.978,0.06289321,0.8,1,4.9,0.3015113,3,400,-0.3,0.7
0.358,0.18044838,0,0.6,2.23,1.0904081,1,400,-0.28,0.7
0.218,0.20119843,0,0.6,1.2,1.0444659,2,400,-0.28,0.7
0.998,0.02,1,1,5,0.1421338,3,400,-0.28,0.7
0.498,0.16204501,0.2,0.8,2.84,0.9289942,1,400,-0.26,0.7
0.352,0.2071841,0,0.61,1.87,1.0507813,2,400,-0.26,0.7
0.998,0.02,1,1,5,0.1421338,3,400,-0.26,0.7
0.66,0.18963016,0.4,1,3.58,1.0168281,1,400,-0.24,0.7
0.546,0.22357066,0.2,0.8,2.81,1.1520294,2,400,-0.24,0.7
0.998,0.02,1,1,5,0.1421338,3,400,-0.24,0.7
0.804,0.17974168,0.59,1,4.24,0.954733,1,400,-0.22,0.7
0.742,0.2075251,0.4,1,3.77,1.0622541,2,400,-0.22,0.7
0.998,0.02,1,1,5.01,0.1737873,3,400,-0.22,0.7
0.912,0.14583788,0.6,1,4.75,0.8211227,1,400,-0.2,0.7
0.908,0.13156402,0.6,1,4.58,0.6843119,2,400,-0.2,0.7
0.998,0.02,1,1,5.02,0.2,3,400,-0.2,0.7
0.042,0.10365054,0,0.2,0.65,0.7571211,1,500,-0.4,0.7
0.01,0.0522233,0,0,0.32,0.5295319,2,500,-0.4,0.7
0.478,0.18617902,0.2,0.8,2.41,0.9438263,3,500,-0.4,0.7
0.058,0.1147505,0,0.2,0.72,0.7795363,1,500,-0.38,0.7
0.014,0.05863773,0,0.2,0.34,0.5545041,2,500,-0.38,0.7
0.606,0.19990907,0.4,1,3.04,1.0042335,3,500,-0.38,0.7
0.082,0.13661122,0,0.4,0.81,0.8372031,1,500,-0.36,0.7
0.03,0.07719842,0,0.2,0.41,0.6046119,2,500,-0.36,0.7
0.742,0.18919286,0.4,1,3.72,0.9543097,3,500,-0.36,0.7
